STAGE 1 Parameters:
Fuel mass (kg): 5600
Dry mass (kg): 1200
Fuel fract: 0.8235294117647058
Isp @ SL: 226
Burn time (sec): 137.90398151982043
Thrust (N): 90030.294
dM/dt: 40.60796460176991

TIME,HEIGHT,VELOCITY,MASS,THRUST,DRAG,GAMMA,RANGE
0.000,0.001,0.000,7300.000,0.000,0.000,1.571,0.000,
0.010,0.001,0.026,7299.594,90390.415,0.000,1.571,0.000,
0.020,0.002,0.052,7299.188,90390.415,0.000,1.571,0.000,
0.030,0.002,0.077,7298.782,90390.415,0.000,1.571,0.000,
0.040,0.003,0.103,7298.376,90390.415,0.000,1.571,0.000,
0.050,0.004,0.129,7297.970,90390.415,0.001,1.571,0.000,
0.060,0.006,0.155,7297.564,90390.415,0.001,1.571,0.000,
0.070,0.007,0.180,7297.157,90390.415,0.001,1.571,0.000,
0.080,0.009,0.206,7296.751,90390.415,0.002,1.571,0.000,
0.090,0.011,0.232,7296.345,90390.415,0.002,1.571,0.000,
0.100,0.014,0.258,7295.939,90390.415,0.003,1.571,0.000,
0.110,0.017,0.284,7295.533,90390.415,0.004,1.571,0.000,
0.120,0.020,0.310,7295.127,90390.415,0.004,1.571,0.000,
0.130,0.023,0.335,7294.721,90390.415,0.005,1.571,0.000,
0.140,0.026,0.361,7294.315,90390.415,0.006,1.571,0.000,
0.150,0.030,0.387,7293.909,90390.415,0.007,1.571,0.000,
0.160,0.034,0.413,7293.503,90390.415,0.008,1.571,0.000,
0.170,0.038,0.439,7293.097,90390.415,0.010,1.571,0.000,
0.180,0.043,0.465,7292.691,90390.415,0.011,1.571,0.000,
0.190,0.048,0.491,7292.284,90390.415,0.012,1.571,0.000,
0.200,0.053,0.517,7291.878,90390.415,0.013,1.571,0.000,
0.210,0.058,0.542,7291.472,90390.415,0.015,1.571,0.000,
0.220,0.063,0.568,7291.066,90390.415,0.016,1.571,0.000,
0.230,0.069,0.594,7290.660,90390.415,0.018,1.571,0.000,
0.240,0.075,0.620,7290.254,90390.415,0.020,1.571,0.000,
0.250,0.082,0.646,7289.848,90390.415,0.021,1.571,0.000,
0.260,0.088,0.672,7289.442,90390.415,0.023,1.571,0.000,
0.270,0.095,0.698,7289.036,90390.415,0.025,1.571,0.000,
0.280,0.102,0.724,7288.630,90390.415,0.027,1.571,0.000,
0.290,0.110,0.750,7288.224,90390.415,0.029,1.571,0.000,
0.300,0.117,0.776,7287.818,90390.415,0.031,1.571,0.000,
0.310,0.125,0.802,7287.412,90390.415,0.034,1.571,0.000,
0.320,0.133,0.828,7287.005,90390.414,0.036,1.571,0.000,
0.330,0.142,0.854,7286.599,90390.414,0.038,1.571,0.000,
0.340,0.150,0.880,7286.193,90390.414,0.041,1.571,0.000,
0.350,0.159,0.906,7285.787,90390.414,0.043,1.571,0.000,
0.360,0.168,0.932,7285.381,90390.414,0.046,1.571,0.000,
0.370,0.178,0.958,7284.975,90390.414,0.049,1.571,0.000,
0.380,0.188,0.984,7284.569,90390.414,0.051,1.571,0.000,
0.390,0.198,1.010,7284.163,90390.414,0.054,1.571,0.000,
0.400,0.208,1.036,7283.757,90390.414,0.057,1.571,0.000,
0.410,0.218,1.062,7283.351,90390.414,0.060,1.571,0.000,
0.420,0.229,1.088,7282.945,90390.414,0.063,1.571,0.000,
0.430,0.240,1.114,7282.539,90390.414,0.066,1.571,0.000,
0.440,0.251,1.140,7282.132,90390.414,0.069,1.571,0.000,
0.450,0.263,1.166,7281.726,90390.414,0.073,1.571,0.000,
0.460,0.275,1.192,7281.320,90390.414,0.076,1.571,0.000,
0.470,0.287,1.218,7280.914,90390.414,0.079,1.571,0.000,
0.480,0.299,1.244,7280.508,90390.414,0.083,1.571,0.000,
0.490,0.312,1.270,7280.102,90390.414,0.087,1.571,0.000,
0.500,0.324,1.296,7279.696,90390.413,0.090,1.571,0.000,
