STAGE 1 Parameters:
Fuel mass (kg): 5641.942088223726
Dry mass (kg): 1200.0
Fuel fract: 0.8246112018303361
Isp @ SL: 226.20538110838118
Burn time (sec): 139.06309632990434
Thrust (N): 90030.294
dM/dt: 40.57109497144481

TIME,HEIGHT,VELOCITY,MASS,THRUST,DRAG,GAMMA,RANGE
0.000,0.001,0.000,7341.942,0.000,0.000,1.571,0.000,
0.010,0.001,0.025,7341.536,90390.415,0.000,1.571,0.000,
0.020,0.002,0.050,7341.131,90390.415,0.000,1.571,0.000,
0.030,0.002,0.075,7340.725,90390.415,0.000,1.571,0.000,
0.040,0.003,0.100,7340.319,90390.415,0.000,1.571,0.000,
0.050,0.004,0.125,7339.914,90390.415,0.001,1.571,0.000,
0.060,0.006,0.150,7339.508,90390.415,0.001,1.571,0.000,
0.070,0.007,0.176,7339.102,90390.415,0.001,1.571,0.000,
0.080,0.009,0.201,7338.696,90390.415,0.002,1.571,0.000,
0.090,0.011,0.226,7338.291,90390.415,0.002,1.571,0.000,
0.100,0.014,0.251,7337.885,90390.415,0.003,1.571,0.000,
0.110,0.016,0.276,7337.479,90390.415,0.004,1.571,0.000,
0.120,0.019,0.301,7337.074,90390.415,0.004,1.571,0.000,
0.130,0.022,0.326,7336.668,90390.415,0.005,1.571,0.000,
0.140,0.026,0.351,7336.262,90390.415,0.006,1.571,0.000,
0.150,0.029,0.377,7335.856,90390.415,0.007,1.571,0.000,
0.160,0.033,0.402,7335.451,90390.415,0.008,1.571,0.000,
0.170,0.037,0.427,7335.045,90390.415,0.009,1.571,0.000,
0.180,0.042,0.452,7334.639,90390.415,0.010,1.571,0.000,
0.190,0.046,0.477,7334.234,90390.415,0.011,1.571,0.000,
0.200,0.051,0.502,7333.828,90390.415,0.013,1.571,0.000,
0.210,0.056,0.528,7333.422,90390.415,0.014,1.571,0.000,
0.220,0.062,0.553,7333.016,90390.415,0.016,1.571,0.000,
0.230,0.067,0.578,7332.611,90390.415,0.017,1.571,0.000,
0.240,0.073,0.603,7332.205,90390.415,0.019,1.571,0.000,
0.250,0.079,0.628,7331.799,90390.415,0.020,1.571,0.000,
0.260,0.086,0.654,7331.394,90390.415,0.022,1.571,0.000,
0.270,0.093,0.679,7330.988,90390.415,0.024,1.571,0.000,
0.280,0.099,0.704,7330.582,90390.415,0.026,1.571,0.000,
0.290,0.107,0.729,7330.176,90390.415,0.028,1.571,0.000,
0.300,0.114,0.755,7329.771,90390.415,0.030,1.571,0.000,
0.310,0.122,0.780,7329.365,90390.415,0.032,1.571,0.000,
0.320,0.130,0.805,7328.959,90390.414,0.034,1.571,0.000,
0.330,0.138,0.830,7328.554,90390.414,0.036,1.571,0.000,
0.340,0.146,0.856,7328.148,90390.414,0.039,1.571,0.000,
0.350,0.155,0.881,7327.742,90390.414,0.041,1.571,0.000,
0.360,0.164,0.906,7327.336,90390.414,0.043,1.571,0.000,
0.370,0.173,0.931,7326.931,90390.414,0.046,1.571,0.000,
0.380,0.182,0.957,7326.525,90390.414,0.048,1.571,0.000,
0.390,0.192,0.982,7326.119,90390.414,0.051,1.571,0.000,
0.400,0.202,1.007,7325.714,90390.414,0.054,1.571,0.000,
0.410,0.212,1.033,7325.308,90390.414,0.057,1.571,0.000,
0.420,0.223,1.058,7324.902,90390.414,0.060,1.571,0.000,
0.430,0.233,1.083,7324.497,90390.414,0.063,1.571,0.000,
